Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,CumulativeQuantity,Method
0x012dd5931e4c0c3f736724b9789a508013c7f50957cc7f8ed626accf87258b61,11779002,1634256635,2021-10-15 00:10:35,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,4625440000,298584171893631,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
0x5d813d0e14b7274b9cd4d162dca671dc93b05c5bea1fdfd0b821cf11c28b216e,11779002,1634256635,2021-10-15 00:10:35,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,3061667138.52475,298587233560769,Swap Exact ETH For Tokens
0x8216fd4105ec92d5b01b94e21807db4bb37812e84ec66c3ffeb1a00e6608b0bf,11779005,1634256644,2021-10-15 00:10:44,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,200000000,298587433560769,Swap ETH For Exact Tokens
0xca3e802c3504cf2029a12d94bd6e8acddf41002fdfc2d468a37fe8834d689ebb,11779006,1634256647,2021-10-15 00:10:47,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,86150400.02,298587519711169,Swap ETH For Exact Tokens
0xf7f83924ba2f7751c8149f846e4a8a04e1ecbad6cb578fb2ad469d01d3b3fc44,11779007,1634256650,2021-10-15 00:10:50,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,661066154.450413,298588180777324,0x8182b61f
0xf7f83924ba2f7751c8149f846e4a8a04e1ecbad6cb578fb2ad469d01d3b3fc44,11779007,1634256650,2021-10-15 00:10:50,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,2742931.20801813,298588183520255,0x8182b61f
0xf7f83924ba2f7751c8149f846e4a8a04e1ecbad6cb578fb2ad469d01d3b3fc44,11779007,1634256650,2021-10-15 00:10:50,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,605438158.016371,298588788958413,0x8182b61f
0x8a0300b06b08762c765acc49fad417c4f205defabf624040d9664143d57f3a34,11779020,1634256689,2021-10-15 00:11:29,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,307286000.02,298589096244413,Swap ETH For Exact Tokens
0x8d227549bbd1467ade72264520c952187f9edaa3baa32496ad3735290b991454,11779021,1634256692,2021-10-15 00:11:32,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,280000000,298589376244413,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens
0xed99b33ee7e3a330c2a30ca5c6cb1d3d20d9ab77d3484b6748f57e8a47c708d6,11779022,1634256695,2021-10-15 00:11:35,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,1800000000,298591176244413,Swap ETH For Exact Tokens
0xc13ddd14d83e816ce88948b06f0e0ead1818499e10a65e240b29bcb0da807baf,11779023,1634256698,2021-10-15 00:11:38,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,7375417263.48445,298598551661676,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
0x60b47e489302c8cab0e58fb6358f1a269050d08cde66ed5d7d662ec1d230e603,11779026,1634256707,2021-10-15 00:11:47,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,1921863.11861595,298598553583540,Swap
0x60b47e489302c8cab0e58fb6358f1a269050d08cde66ed5d7d662ec1d230e603,11779026,1634256707,2021-10-15 00:11:47,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,18121035.8464124,298598571704575,Swap
0x60b47e489302c8cab0e58fb6358f1a269050d08cde66ed5d7d662ec1d230e603,11779026,1634256707,2021-10-15 00:11:47,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,18439467.23773,298598590144043,Swap
0xe12f3386b16c3d714b065ceb0acb6578e8da1dd1e56e6993e394491ecc89ebd2,11779030,1634256719,2021-10-15 00:11:59,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,472794713.927949,298599062938757,Swap Exact ETH For Tokens
0x8dd29c85f999ce88c1ac1fd390d016a322d5875e6c043e5df081787be715db68,11779030,1634256719,2021-10-15 00:11:59,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,150048739.66921,298599212987496,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
0x7baa0d5f45a3ed58e0666768ac7fc0e0222ca892fb16722fa3286eb6a5ef529e,11779034,1634256731,2021-10-15 00:12:11,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,1295719328.76061,298600508706825,Swap Exact ETH For Tokens
0xe03837f570d99a30a5c760e17fc0d0a8dfff10f810607d0908bfce800dca78e9,11779035,1634256734,2021-10-15 00:12:14,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,224498493.425162,298600733205318,Swap Exact ETH For Tokens
0xd1e329d58461e85ec61fb60f0cad36c7a9fd8c78c41065c28851af1fb372ece1,11779038,1634256743,2021-10-15 00:12:23,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,238789026.150694,298600971994345,Swap Exact ETH For Tokens
0xf92afd176f4a0f48583cb349a02194df836b7125f1d03e3177efb91b1b7184fe,11779038,1634256743,2021-10-15 00:12:23,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,43205200.02,298601015199545,Swap ETH For Exact Tokens
0x1d55e229ca9d47c782f6790fb6521a6c81dc96cb2f04000d6565a56e44ba6840,11779055,1634256794,2021-10-15 00:13:14,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,73287600.02,298601088487145,Swap Tokens For Exact Tokens
0x10fad88089a5d995eca796475fda7875abef9906c515a5c7af0ecb88f846c0e4,11779055,1634256794,2021-10-15 00:13:14,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,2434225939.24066,298603522713084,Swap Exact ETH For Tokens
0x1cbd636cfecce7b9605aa1180ed2a3ff5c3dc62af4a314473e514587fcc95f50,11779056,1634256797,2021-10-15 00:13:17,0x8e2d8f40818fbaba663db6a24fb9b527fc7100be,0x0000000000000000000000000000000000000000,15483904822.5253,298619006617906,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
